Date,School,Enrollment,Attendance,Hamburger,Pizza,HotDog,Skipped
2015-09-03,West Lincoln M.S.,435,427,160,41,73,153
2015-09-03,North Jefferson H.S.,452,406,149,144,7,106
2015-09-03,Outer Roosevelt M.S.,181,157,45,31,71,10
2015-09-03,West York High,292,241,83,88,3,67
2015-09-03,West King M.S.,189,168,47,56,20,45
2015-09-03,East York H.S.,459,457,26,34,279,118
2015-09-03,West Lincoln High,266,264,83,21,148,12
2015-09-03,West Jefferson M.S.,233,204,79,56,26,43
2015-09-03,North Lincoln M.S.,474,439,87,99,23,230
2015-09-03,Central Arthur H.S.,497,370,160,97,19,94
2015-09-04,West Lincoln M.S.,435,406,136,117,115,38
2015-09-04,North Jefferson H.S.,452,450,257,191,0,2
2015-09-04,Outer Roosevelt M.S.,181,134,51,32,15,36
2015-09-04,West York High,292,283,167,109,0,7
2015-09-04,West King M.S.,189,163,55,57,27,24
2015-09-04,East York H.S.,459,421,122,45,12,242
2015-09-04,West Lincoln High,266,225,1,15,89,120
2015-09-04,West Jefferson M.S.,233,191,1,2,54,134
2015-09-04,North Lincoln M.S.,474,398,128,74,89,107
2015-09-04,Central Arthur H.S.,497,437,197,194,26,20
2015-09-07,West Lincoln M.S.,435,348,204,39,7,98
2015-09-07,North Jefferson H.S.,452,411,138,12,176,85
2015-09-07,Outer Roosevelt M.S.,181,165,16,73,38,38
2015-09-07,West York High,292,285,133,52,47,53
2015-09-07,West King M.S.,189,188,52,74,8,54
2015-09-07,East York H.S.,459,408,149,21,121,117
2015-09-07,West Lincoln High,266,249,103,38,75,33
2015-09-07,West Jefferson M.S.,233,190,65,42,7,76
2015-09-07,North Lincoln M.S.,474,447,232,66,48,101
2015-09-07,Central Arthur H.S.,497,482,1,68,202,211
2015-09-08,West Lincoln M.S.,435,425,126,127,78,94
2015-09-08,North Jefferson H.S.,452,370,16,113,87,154
2015-09-08,Outer Roosevelt M.S.,181,141,14,34,83,10
2015-09-08,West York High,292,281,122,27,108,24
2015-09-08,West King M.S.,189,143,72,30,18,23
2015-09-08,East York H.S.,459,411,215,40,65,91
2015-09-08,West Lincoln High,266,261,43,81,22,115
2015-09-08,West Jefferson M.S.,233,228,134,46,35,13
2015-09-08,North Lincoln M.S.,474,369,65,158,27,119
2015-09-08,Central Arthur H.S.,497,401,144,14,124,119
2015-09-09,West Lincoln M.S.,435,416,124,90,110,92
2015-09-09,North Jefferson H.S.,452,434,129,190,111,4
2015-09-09,Outer Roosevelt M.S.,181,160,47,40,49,24
2015-09-09,West York High,292,263,52,46,125,40
2015-09-09,West King M.S.,189,148,14,12,75,47
2015-09-09,East York H.S.,459,421,64,46,193,118
2015-09-09,West Lincoln High,266,243,0,109,123,11
2015-09-09,West Jefferson M.S.,233,189,89,34,46,20
2015-09-09,North Lincoln M.S.,474,410,232,159,14,5
2015-09-09,Central Arthur H.S.,497,476,16,204,209,47
2015-09-10,West Lincoln M.S.,435,371,0,39,20,312
2015-09-10,North Jefferson H.S.,452,355,0,77,103,175
2015-09-10,Outer Roosevelt M.S.,181,145,57,50,14,24
2015-09-10,West York High,292,283,165,3,46,69
2015-09-10,West King M.S.,189,154,35,13,93,13
2015-09-10,East York H.S.,459,407,200,32,66,109
2015-09-10,West Lincoln High,266,261,117,0,8,136
2015-09-10,West Jefferson M.S.,233,211,97,66,3,45
2015-09-10,North Lincoln M.S.,474,428,15,61,215,137
2015-09-10,Central Arthur H.S.,497,365,61,176,118,10
2015-09-11,West Lincoln M.S.,435,414,154,67,181,12
2015-09-11,North Jefferson H.S.,452,352,98,114,71,69
2015-09-11,Outer Roosevelt M.S.,181,166,22,68,30,46
2015-09-11,West York High,292,248,46,74,15,113
2015-09-11,West King M.S.,189,181,14,39,70,58
2015-09-11,East York H.S.,459,403,108,106,133,56
2015-09-11,West Lincoln High,266,221,11,6,103,101
2015-09-11,West Jefferson M.S.,233,215,101,50,36,28
2015-09-11,North Lincoln M.S.,474,406,108,106,186,6
2015-09-11,Central Arthur H.S.,497,475,116,10,251,98
2015-09-14,West Lincoln M.S.,435,409,58,26,24,301
2015-09-14,North Jefferson H.S.,452,380,167,108,97,8
2015-09-14,Outer Roosevelt M.S.,181,144,22,42,33,47
2015-09-14,West York High,292,240,132,60,17,31
2015-09-14,West King M.S.,189,152,40,43,26,43
2015-09-14,East York H.S.,459,449,26,179,76,168
2015-09-14,West Lincoln High,266,229,88,112,21,8
2015-09-14,West Jefferson M.S.,233,202,45,58,8,91
2015-09-14,North Lincoln M.S.,474,468,189,169,90,20
2015-09-14,Central Arthur H.S.,497,439,199,93,25,122
