Date,DayOfWeek,School,Enrollment,Attendance,Hamburger,Pizza,HotDog,Skipped
2015-09-02,03-Wed,North Roosevelt M.S.,485,440,172,157,90,21
2015-09-02,03-Wed,West Lincoln High,213,205,27,94,38,46
2015-09-02,03-Wed,Outer Jefferson H.S.,482,473,189,52,206,26
2015-09-02,03-Wed,Central Washington H.S.,238,234,7,79,41,107
2015-09-02,03-Wed,West Truman H.S.,299,285,44,42,0,199
2015-09-02,03-Wed,Central Jefferson M.S.,413,402,194,29,154,25
2015-09-02,03-Wed,Central Roosevelt M.S.,332,284,36,123,122,3
2015-09-02,03-Wed,West Washington M.S.,148,117,24,37,36,20
2015-09-02,03-Wed,North King High,367,353,154,41,114,44
2015-09-02,03-Wed,South Jefferson H.S.,385,338,143,18,138,39
2015-09-02,03-Wed,North York H.S.,280,269,18,22,25,204
2015-09-02,03-Wed,East Roosevelt H.S.,195,168,52,78,4,34
2015-09-02,03-Wed,South Arthur High,414,372,3,61,136,172
2015-09-02,03-Wed,South Truman H.S.,319,308,139,121,8,40
2015-09-02,03-Wed,East Washington H.S.,212,204,82,99,15,8
2015-09-02,03-Wed,East York High,126,121,28,29,2,62
2015-09-02,03-Wed,South Washington High,332,259,104,86,16,53
2015-09-03,04-Thu,North Roosevelt M.S.,485,457,109,100,42,206
2015-09-03,04-Thu,West Lincoln High,213,211,14,157,39,1
2015-09-03,04-Thu,Outer Jefferson H.S.,482,440,21,200,91,128
2015-09-03,04-Thu,Central Washington H.S.,238,187,82,80,7,18
2015-09-03,04-Thu,West Truman H.S.,299,291,146,87,14,44
2015-09-03,04-Thu,Central Jefferson M.S.,413,348,96,124,8,120
2015-09-03,04-Thu,Central Roosevelt M.S.,332,304,14,41,79,170
2015-09-03,04-Thu,West Washington M.S.,148,111,55,43,9,4
2015-09-03,04-Thu,North King High,367,303,76,29,93,105
2015-09-03,04-Thu,South Jefferson H.S.,385,316,27,155,26,108
2015-09-03,04-Thu,North York H.S.,280,279,28,3,143,105
2015-09-03,04-Thu,East Roosevelt H.S.,195,180,70,80,1,29
2015-09-03,04-Thu,South Arthur High,414,330,27,138,157,8
2015-09-03,04-Thu,South Truman H.S.,319,297,138,148,7,4
2015-09-03,04-Thu,East Washington H.S.,212,183,59,5,3,116
2015-09-03,04-Thu,East York High,126,116,17,17,49,33
2015-09-03,04-Thu,South Washington High,332,294,125,50,13,106
2015-09-04,05-Fri,North Roosevelt M.S.,485,471,29,76,44,322
2015-09-04,05-Fri,West Lincoln High,213,211,115,72,4,20
2015-09-04,05-Fri,Outer Jefferson H.S.,482,459,256,110,78,15
